Height Pressure Rho
2.813902e+04 3.886777e+02 1.653366e-02
2.818314e+04 3.815765e+02 1.631014e-02
2.822706e+04 3.746050e+02 1.608968e-02
2.827076e+04 3.677609e+02 1.587224e-02
2.831425e+04 3.610419e+02 1.565778e-02
2.835753e+04 3.544456e+02 1.544626e-02
2.840060e+04 3.479698e+02 1.523763e-02
2.844346e+04 3.416123e+02 1.503186e-02
2.848612e+04 3.353710e+02 1.482891e-02
2.852857e+04 3.292437e+02 1.462874e-02
2.857082e+04 3.232284e+02 1.443130e-02
2.861286e+04 3.173230e+02 1.423657e-02
2.865469e+04 3.115254e+02 1.404450e-02
2.869633e+04 3.058338e+02 1.385506e-02
2.873776e+04 3.002462e+02 1.366821e-02
2.877899e+04 2.947606e+02 1.348392e-02
2.882002e+04 2.893753e+02 1.330214e-02
2.886085e+04 2.840884e+02 1.312285e-02
2.890149e+04 2.788980e+02 1.294601e-02
2.894192e+04 2.738025e+02 1.277159e-02
2.898216e+04 2.688001e+02 1.259955e-02
2.902220e+04 2.638891e+02 1.242986e-02
2.906205e+04 2.590678e+02 1.226249e-02
2.910171e+04 2.543346e+02 1.209740e-02
2.914117e+04 2.496878e+02 1.193457e-02
2.918044e+04 2.451260e+02 1.177396e-02
2.921951e+04 2.406475e+02 1.161554e-02
2.925840e+04 2.362508e+02 1.145929e-02
2.929709e+04 2.319345e+02 1.130517e-02
2.933560e+04 2.276970e+02 1.115315e-02
2.937392e+04 2.235370e+02 1.100320e-02
2.941205e+04 2.194529e+02 1.085530e-02
2.945000e+04 2.154435e+02 1.070942e-02
2.948775e+04 2.115073e+02 1.056552e-02
2.952533e+04 2.076430e+02 1.042359e-02
2.956272e+04 2.038493e+02 1.028360e-02
2.959994e+04 2.001250e+02 1.013895e-02
2.963698e+04 1.964687e+02 1.000244e-02
2.967385e+04 1.928792e+02 9.867786e-03
2.971054e+04 1.893552e+02 9.734960e-03
2.974705e+04 1.858957e+02 9.603941e-03
2.978338e+04 1.824993e+02 9.474701e-03
2.981953e+04 1.791650e+02 9.347219e-03
2.985551e+04 1.758917e+02 9.221468e-03
2.989131e+04 1.726781e+02 9.097425e-03
2.992694e+04 1.695232e+02 8.975068e-03
2.996239e+04 1.664260e+02 8.854371e-03
2.999767e+04 1.633854e+02 8.735314e-03
3.003277e+04 1.604003e+02 8.617873e-03
3.006771e+04 1.574698e+02 8.502026e-03
3.010247e+04 1.545928e+02 8.387750e-03
3.013706e+04 1.517683e+02 8.275026e-03
3.017149e+04 1.489955e+02 8.163830e-03
3.020574e+04 1.462733e+02 8.054143e-03
3.023983e+04 1.436009e+02 7.945944e-03
3.027375e+04 1.409773e+02 7.839211e-03
3.030751e+04 1.384016e+02 7.733925e-03
3.034109e+04 1.358730e+02 7.630067e-03
3.037452e+04 1.333906e+02 7.527616e-03
3.040778e+04 1.309535e+02 7.426553e-03
3.044087e+04 1.285610e+02 7.326859e-03
3.047381e+04 1.262121e+02 7.228516e-03
3.050658e+04 1.239062e+02 7.131505e-03
3.053919e+04 1.216424e+02 7.035807e-03
3.057164e+04 1.194200e+02 6.941405e-03
3.060393e+04 1.172382e+02 6.848281e-03
3.063606e+04 1.150962e+02 6.756417e-03
3.066803e+04 1.129934e+02 6.665797e-03
3.069985e+04 1.109290e+02 6.576402e-03
3.073151e+04 1.089023e+02 6.488217e-03
3.076301e+04 1.069126e+02 6.401225e-03
3.079436e+04 1.049593e+02 6.315409e-03
3.082555e+04 1.030417e+02 6.230754e-03
3.085659e+04 1.011591e+02 6.147243e-03
3.088748e+04 9.931092e+01 6.064861e-03
3.091821e+04 9.749649e+01 5.983593e-03
3.094879e+04 9.571522e+01 5.903423e-03
3.097923e+04 9.396648e+01 5.824336e-03
3.100951e+04 9.224970e+01 5.746317e-03
3.103964e+04 9.056428e+01 5.669353e-03
3.106962e+04 8.890966e+01 5.593427e-03
3.109945e+04 8.728527e+01 5.518527e-03
3.112914e+04 8.569055e+01 5.444639e-03
3.115868e+04 8.412497e+01 5.371748e-03
3.118807e+04 8.258799e+01 5.299840e-03
3.121732e+04 8.107910e+01 5.228903e-03
3.124642e+04 7.959777e+01 5.158924e-03
3.127538e+04 7.814351e+01 5.089888e-03
3.130420e+04 7.671581e+01 5.021784e-03
3.133287e+04 7.531420e+01 4.954598e-03
3.136140e+04 7.393820e+01 4.888318e-03
3.138979e+04 7.258734e+01 4.822932e-03
3.141804e+04 7.126115e+01 4.758428e-03
3.144614e+04 6.995920e+01 4.694793e-03
3.147411e+04 6.868104e+01 4.632016e-03
3.150194e+04 6.742622e+01 4.570085e-03
3.152963e+04 6.619433e+01 4.508988e-03
3.155719e+04 6.498495e+01 4.448714e-03
3.158460e+04 6.379767e+01 4.389253e-03
3.161188e+04 6.263207e+01 4.330592e-03
3.163903e+04 6.148778e+01 4.272721e-03
3.166604e+04 6.036439e+01 4.215630e-03
3.169291e+04 5.926152e+01 4.159307e-03
3.171965e+04 5.817880e+01 4.103743e-03
3.174626e+04 5.711586e+01 4.048926e-03
3.177274e+04 5.607235e+01 3.994847e-03
3.179908e+04 5.504790e+01 3.941496e-03
3.182529e+04 5.404216e+01 3.888863e-03
3.185137e+04 5.305481e+01 3.836938e-03
3.187733e+04 5.208549e+01 3.785711e-03
3.190315e+04 5.113388e+01 3.735174e-03
3.192884e+04 5.019965e+01 3.685316e-03
3.195441e+04 4.928250e+01 3.636128e-03
3.197985e+04 4.838210e+01 3.587602e-03
3.200516e+04 4.749815e+01 3.539728e-03
3.203034e+04 4.663035e+01 3.492498e-03
3.205540e+04 4.577841e+01 3.445902e-03
3.208033e+04 4.494203e+01 3.399933e-03
3.210514e+04 4.412093e+01 3.354582e-03
3.212983e+04 4.331483e+01 3.309840e-03
3.215439e+04 4.252346e+01 3.265698e-03
3.217883e+04 4.174655e+01 3.222150e-03
3.220315e+04 4.098384e+01 3.179187e-03
3.222734e+04 4.023506e+01 3.136801e-03
3.225141e+04 3.949995e+01 3.094984e-03
3.227537e+04 3.877828e+01 3.053729e-03
3.229920e+04 3.806980e+01 3.013028e-03
3.232291e+04 3.737426e+01 2.972873e-03
3.234651e+04 3.669142e+01 2.933257e-03
3.236999e+04 3.602107e+01 2.894172e-03
3.239335e+04 3.536296e+01 2.855613e-03
3.241659e+04 3.471687e+01 2.817571e-03
3.243971e+04 3.408259e+01 2.780044e-03
3.246272e+04 3.345989e+01 2.743021e-03
3.248562e+04 3.284857e+01 2.706494e-03
3.250839e+04 3.224842e+01 2.670457e-03
3.253106e+04 3.165924e+01 2.634903e-03
3.255361e+04 3.108082e+01 2.599825e-03
3.257605e+04 3.051297e+01 2.565218e-03
3.259837e+04 2.995549e+01 2.531074e-03
3.262058e+04 2.940820e+01 2.497388e-03
3.264268e+04 2.887091e+01 2.464154e-03
3.266467e+04 2.834343e+01 2.431364e-03
3.268655e+04 2.782559e+01 2.399014e-03
3.270832e+04 2.731722e+01 2.367098e-03
3.272998e+04 2.681813e+01 2.335609e-03
3.275153e+04 2.632815e+01 2.304541e-03
3.277297e+04 2.584714e+01 2.273890e-03
3.279431e+04 2.537490e+01 2.243649e-03
3.281553e+04 2.491130e+01 2.213813e-03
3.283665e+04 2.445617e+01 2.184377e-03
3.285766e+04 2.400935e+01 2.155334e-03
3.287857e+04 2.357069e+01 2.126681e-03
3.289937e+04 2.314005e+01 2.098411e-03
3.292007e+04 2.271728e+01 2.070519e-03
3.294066e+04 2.230223e+01 2.043001e-03
3.296115e+04 2.189477e+01 2.015850e-03
3.298153e+04 2.149475e+01 1.989063e-03
3.300181e+04 2.110203e+01 1.962635e-03
3.302199e+04 2.071650e+01 1.936560e-03
3.304207e+04 2.033800e+01 1.910834e-03
3.306204e+04 1.996642e+01 1.885452e-03
3.308192e+04 1.960163e+01 1.860410e-03
3.310169e+04 1.924351e+01 1.835702e-03
3.312137e+04 1.889193e+01 1.811325e-03
3.314094e+04 1.854677e+01 1.787274e-03
3.316042e+04 1.820792e+01 1.763545e-03
3.317979e+04 1.787526e+01 1.740132e-03
3.319907e+04 1.754867e+01 1.717033e-03
3.321825e+04 1.722805e+01 1.694243e-03
3.323734e+04 1.691330e+01 1.671757e-03
3.325633e+04 1.660429e+01 1.649572e-03
3.327522e+04 1.630092e+01 1.627684e-03
3.329401e+04 1.600310e+01 1.606088e-03
3.331271e+04 1.571072e+01 1.584780e-03
3.333132e+04 1.542369e+01 1.563758e-03
3.334983e+04 1.514189e+01 1.543016e-03
3.336825e+04 1.486525e+01 1.522552e-03
3.338657e+04 1.459366e+01 1.502361e-03
3.340480e+04 1.432703e+01 1.482439e-03
3.342294e+04 1.406527e+01 1.462784e-03
3.344098e+04 1.380830e+01 1.443392e-03
3.345894e+04 1.355602e+01 1.424258e-03
3.347680e+04 1.330835e+01 1.405381e-03
3.349457e+04 1.306520e+01 1.386755e-03
3.351226e+04 1.282650e+01 1.368378e-03
3.352985e+04 1.259216e+01 1.350247e-03
3.354735e+04 1.236210e+01 1.332357e-03
3.356476e+04 1.213624e+01 1.314707e-03
3.358209e+04 1.191451e+01 1.296989e-03
3.359933e+04 1.169683e+01 1.279789e-03
3.361648e+04 1.148312e+01 1.262818e-03
3.363355e+04 1.127333e+01 1.246073e-03
3.365053e+04 1.106736e+01 1.229552e-03
3.366742e+04 1.086516e+01 1.213250e-03
3.368423e+04 1.066665e+01 1.197166e-03
3.370095e+04 1.047177e+01 1.181296e-03
3.371759e+04 1.028045e+01 1.165638e-03
3.373414e+04 1.009262e+01 1.150188e-03
3.375061e+04 9.908228e+00 1.134943e-03
3.376699e+04 9.727203e+00 1.119902e-03
3.378329e+04 9.549486e+00 1.105061e-03
3.379951e+04 9.375015e+00 1.090418e-03
3.381565e+04 9.203732e+00 1.075969e-03
3.383170e+04 9.035578e+00 1.061713e-03
3.384767e+04 8.870497e+00 1.047647e-03
3.386356e+04 8.708431e+00 1.033768e-03
3.387937e+04 8.549327e+00 1.020073e-03
3.389510e+04 8.393129e+00 1.006561e-03
3.391075e+04 8.239786e+00 9.932287e-04
3.392632e+04 8.089243e+00 9.800737e-04
3.394181e+04 7.941452e+00 9.670937e-04
3.395722e+04 7.796360e+00 9.542865e-04
3.397255e+04 7.653919e+00 9.416495e-04
3.398781e+04 7.514081e+00 9.291807e-04
3.400299e+04 7.376798e+00 9.168777e-04
3.401809e+04 7.242022e+00 9.047383e-04
3.403311e+04 7.109709e+00 8.927603e-04
3.404805e+04 6.979814e+00 8.809416e-04
3.406292e+04 6.852292e+00 8.692801e-04
3.407772e+04 6.727099e+00 8.577735e-04
3.409244e+04 6.604194e+00 8.464200e-04
